Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
birmingham,Birmingham,birmingham,,0,
brighton,Brighton,brighton,,1,
bristol,Bristol,bristol,,2,
cambridge,Cambridge,cambridge,,3,
cardiff,Cardiff,cardiff,,4,
leeds,Leeds,leeds,,5,
leicester,Leicester,leicester,,6,
liverpool,Liverpool,liverpool,,7,
london,London,london,,8,
manchester,Manchester,manchester,,9,
newcastle,Newcastle,newcastle,,10,
nottingham,Nottingham,nottingham,,11,
reading,Reading,reading,,12,
sheffield,Sheffield,sheffield,,13,
